e1fish_index,e1fish_id,e1fish_name,e1fish_lastyear,e1fish_startyear,e1monoculture,e1fish_everyyear,e1fish_gap,e1fingerling_lastyear,e1pond_type,e1pond_type_oth,e1pond_size,e1pond_depth,e1pond_source,e1pond_source_oth,e1integrated_agri,e1integrated_now,e1purchase_finger_time,e1source_fingerling,e1source_fingerling_1,e1source_fingerling_2,e1source_fingerling_3,e1source_fingerling_4,e1source_fingerling_5,e1source_fingerling_6,e1source_fingerling_7,e1source_fingerling_8,e1source_fingerling_9,e1source_fingerling__96,e1source_fingerling_oth,e1know_hatchery,e1hatchery_village,e1distance_hatchery,e1hatchery_address,e1know_num,e1hatchery_phone,e1hatchery_year,e1strain_tilapia,e1strain_tilapia_oth,e1strain_rohu,e1strain_rohu_oth,e1gift_tilapia,e1g3_rohu,e1fish_amount,e1fish_monosex,e1totprice_fingerling,e1harvest_month,e1fish_sales,e1fish_sales_oth,PARENT_KEY,KEY,SET-OF-module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:9c8da33a-18bb-4896-b2b9-2bddfd8746cc/module_er[1],uuid:9c8da33a-18bb-4896-b2b9-2bddfd8746cc/module_er[1]/module_e1_4[1],uuid:9c8da33a-18bb-4896-b2b9-2bddfd8746cc/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2004,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:9c8da33a-18bb-4896-b2b9-2bddfd8746cc/module_er[1],uuid:9c8da33a-18bb-4896-b2b9-2bddfd8746cc/module_er[1]/module_e1_4[2],uuid:9c8da33a-18bb-4896-b2b9-2bddfd8746cc/module_er[1]/module_e1_4
1,1,Tilapia,1,2000,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:7f60cb44-ee61-4673-919a-c48db1edddce/module_er[1],uuid:7f60cb44-ee61-4673-919a-c48db1edddce/module_er[1]/module_e1_4[1],uuid:7f60cb44-ee61-4673-919a-c48db1edddce/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2000,0,1,,1,1,,28,6,1,,0,,3/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,2,,,-96,Boro dhoron er jat,,0,20,,3000,1/1/2024,5,,uuid:7f60cb44-ee61-4673-919a-c48db1edddce/module_er[1],uuid:7f60cb44-ee61-4673-919a-c48db1edddce/module_er[1]/module_e1_4[2],uuid:7f60cb44-ee61-4673-919a-c48db1edddce/module_er[1]/module_e1_4
1,1,Tilapia,1,2005,0,1,,1,1,,24,6,1,,0,,11/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,3,-96,Jane na,,,0,,10,-97,1300,2/1/2024,5,,uuid:9b7743a1-52a1-4b09-9b44-de2e074ff95b/module_er[1],uuid:9b7743a1-52a1-4b09-9b44-de2e074ff95b/module_er[1]/module_e1_4[1],uuid:9b7743a1-52a1-4b09-9b44-de2e074ff95b/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:9b7743a1-52a1-4b09-9b44-de2e074ff95b/module_er[1],uuid:9b7743a1-52a1-4b09-9b44-de2e074ff95b/module_er[1]/module_e1_4[2],uuid:9b7743a1-52a1-4b09-9b44-de2e074ff95b/module_er[1]/module_e1_4
1,1,Tilapia,1,2014,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:8ed0a7ed-a146-4f52-818b-364a378fa373/module_er[1],uuid:8ed0a7ed-a146-4f52-818b-364a378fa373/module_er[1]/module_e1_4[1],uuid:8ed0a7ed-a146-4f52-818b-364a378fa373/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:8ed0a7ed-a146-4f52-818b-364a378fa373/module_er[1],uuid:8ed0a7ed-a146-4f52-818b-364a378fa373/module_er[1]/module_e1_4[2],uuid:8ed0a7ed-a146-4f52-818b-364a378fa373/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:bea515c0-c8fe-4abe-a0e8-73a881132a6e/module_er[1],uuid:bea515c0-c8fe-4abe-a0e8-73a881132a6e/module_er[1]/module_e1_4[1],uuid:bea515c0-c8fe-4abe-a0e8-73a881132a6e/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:bea515c0-c8fe-4abe-a0e8-73a881132a6e/module_er[1],uuid:bea515c0-c8fe-4abe-a0e8-73a881132a6e/module_er[1]/module_e1_4[2],uuid:bea515c0-c8fe-4abe-a0e8-73a881132a6e/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:ff5d5a3e-3970-473d-94f8-4ccc7efaae92/module_er[1],uuid:ff5d5a3e-3970-473d-94f8-4ccc7efaae92/module_er[1]/module_e1_4[1],uuid:ff5d5a3e-3970-473d-94f8-4ccc7efaae92/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2018,0,1,,1,1,,280,5,1,,0,,10/1/2023,8,0,0,0,0,0,0,0,1,0,0,,1,1,150,Comilla,0,,2,,,-96,Nam janina,,0,20,,6000,12/1/2023,5,,uuid:ff5d5a3e-3970-473d-94f8-4ccc7efaae92/module_er[1],uuid:ff5d5a3e-3970-473d-94f8-4ccc7efaae92/module_er[1]/module_e1_4[2],uuid:ff5d5a3e-3970-473d-94f8-4ccc7efaae92/module_er[1]/module_e1_4
1,1,Tilapia,1,2020,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:fd78525d-08b2-41b2-a0ef-6e990f95b974/module_er[1],uuid:fd78525d-08b2-41b2-a0ef-6e990f95b974/module_er[1]/module_e1_4[1],uuid:fd78525d-08b2-41b2-a0ef-6e990f95b974/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2020,0,1,,1,1,,4,6,1,,0,,3/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,1,,,-96,Nam Janena,,0,5,,1000,11/1/2023,5,,uuid:fd78525d-08b2-41b2-a0ef-6e990f95b974/module_er[1],uuid:fd78525d-08b2-41b2-a0ef-6e990f95b974/module_er[1]/module_e1_4[2],uuid:fd78525d-08b2-41b2-a0ef-6e990f95b974/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:4c55728b-cb06-47cd-bdcb-1eb7859ba922/module_er[1],uuid:4c55728b-cb06-47cd-bdcb-1eb7859ba922/module_er[1]/module_e1_4[1],uuid:4c55728b-cb06-47cd-bdcb-1eb7859ba922/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2020,0,1,,1,1,,12,5,1,,0,,7/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,3,,,-96,Janina,,0,2,,400,10/1/2023,5,,uuid:4c55728b-cb06-47cd-bdcb-1eb7859ba922/module_er[1],uuid:4c55728b-cb06-47cd-bdcb-1eb7859ba922/module_er[1]/module_e1_4[2],uuid:4c55728b-cb06-47cd-bdcb-1eb7859ba922/module_er[1]/module_e1_4
1,1,Tilapia,1,2023,1,1,,1,1,,20,4,3,,0,,1/1/2023,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,-96,Hibright,,,0,,20,-97,3500,2/1/2024,1,,uuid:25e5dbea-cade-471c-9b77-f619076d6e6e/module_er[1],uuid:25e5dbea-cade-471c-9b77-f619076d6e6e/module_er[1]/module_e1_4[1],uuid:25e5dbea-cade-471c-9b77-f619076d6e6e/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2019,1,1,,1,1,,22,4,3,,0,,7/1/2023,-96,0,0,0,0,0,0,0,0,0,1,Bahier khamar,1,1,3000,Sadhdhorgha,0,,2,,,1,,,0,5,,1500,1/1/2023,1,,uuid:25e5dbea-cade-471c-9b77-f619076d6e6e/module_er[1],uuid:25e5dbea-cade-471c-9b77-f619076d6e6e/module_er[1]/module_e1_4[2],uuid:25e5dbea-cade-471c-9b77-f619076d6e6e/module_er[1]/module_e1_4
1,1,Tilapia,1,2000,0,1,,1,1,,8,8,1,,0,,12/1/2023,2,0,1,0,0,0,0,0,0,0,0,,,,,,,,,-96,Nam jane na,,,0,,1.5,1.5,350,11/1/2023,1,,uuid:d339f0dc-b37d-4d2c-988a-0dd6de07bbc8/module_er[1],uuid:d339f0dc-b37d-4d2c-988a-0dd6de07bbc8/module_er[1]/module_e1_4[1],uuid:d339f0dc-b37d-4d2c-988a-0dd6de07bbc8/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2006,0,1,,1,1,,8,7,1,,0,,12/1/2023,2,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,-96,Nam jane na,,0,2,,300,11/1/2023,1,,uuid:d339f0dc-b37d-4d2c-988a-0dd6de07bbc8/module_er[1],uuid:d339f0dc-b37d-4d2c-988a-0dd6de07bbc8/module_er[1]/module_e1_4[2],uuid:d339f0dc-b37d-4d2c-988a-0dd6de07bbc8/module_er[1]/module_e1_4
1,1,Tilapia,1,2010,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:5987415f-70c3-499b-81c1-963d78ab44e4/module_er[1],uuid:5987415f-70c3-499b-81c1-963d78ab44e4/module_er[1]/module_e1_4[1],uuid:5987415f-70c3-499b-81c1-963d78ab44e4/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2010,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:5987415f-70c3-499b-81c1-963d78ab44e4/module_er[1],uuid:5987415f-70c3-499b-81c1-963d78ab44e4/module_er[1]/module_e1_4[2],uuid:5987415f-70c3-499b-81c1-963d78ab44e4/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:678f9d83-658c-48ab-84ad-d13c2464cb4c/module_er[1],uuid:678f9d83-658c-48ab-84ad-d13c2464cb4c/module_er[1]/module_e1_4[1],uuid:678f9d83-658c-48ab-84ad-d13c2464cb4c/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,1980,1,1,,1,1,,45,5,1,,0,,4/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,24,,,-96,Boli Rui,,0,15,,5000,2/1/2024,1,,uuid:678f9d83-658c-48ab-84ad-d13c2464cb4c/module_er[1],uuid:678f9d83-658c-48ab-84ad-d13c2464cb4c/module_er[1]/module_e1_4[2],uuid:678f9d83-658c-48ab-84ad-d13c2464cb4c/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:c5a555ab-5583-4860-b91a-9247800a10ff/module_er[1],uuid:c5a555ab-5583-4860-b91a-9247800a10ff/module_er[1]/module_e1_4[1],uuid:c5a555ab-5583-4860-b91a-9247800a10ff/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2014,0,1,,1,1,,7,12,1,,0,,9/1/2023,2,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,5,,,0,1,,500,8/1/2024,5,,uuid:c5a555ab-5583-4860-b91a-9247800a10ff/module_er[1],uuid:c5a555ab-5583-4860-b91a-9247800a10ff/module_er[1]/module_e1_4[2],uuid:c5a555ab-5583-4860-b91a-9247800a10ff/module_er[1]/module_e1_4
1,1,Tilapia,1,2020,0,1,,1,1,,40,4,3,,0,,5/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,1,2,,,,1,,20,10,3500,10/1/2023,1,,uuid:add976e2-2e2a-4f4a-90c6-bff1e87882e3/module_er[1],uuid:add976e2-2e2a-4f4a-90c6-bff1e87882e3/module_er[1]/module_e1_4[1],uuid:add976e2-2e2a-4f4a-90c6-bff1e87882e3/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2020,0,1,,1,1,,40,4,3,,0,,5/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,20,,,2,,,1,20,,3500,10/1/2023,1,,uuid:add976e2-2e2a-4f4a-90c6-bff1e87882e3/module_er[1],uuid:add976e2-2e2a-4f4a-90c6-bff1e87882e3/module_er[1]/module_e1_4[2],uuid:add976e2-2e2a-4f4a-90c6-bff1e87882e3/module_er[1]/module_e1_4
1,1,Tilapia,1,2020,0,1,,1,1,,40,4,3,,0,,5/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,1,2,,,,1,,20,10,3500,10/1/2023,1,,uuid:add976e2-2e2a-4f4a-90c6-bff1e87882e3/module_er[2],uuid:add976e2-2e2a-4f4a-90c6-bff1e87882e3/module_er[2]/module_e1_4[1],uuid:add976e2-2e2a-4f4a-90c6-bff1e87882e3/module_er[2]/module_e1_4
2,2,Rohu (Rui),1,2020,0,1,,1,1,,40,4,3,,0,,5/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,1,,,-96,Janina,,0,20,,3500,10/1/2023,1,,uuid:add976e2-2e2a-4f4a-90c6-bff1e87882e3/module_er[2],uuid:add976e2-2e2a-4f4a-90c6-bff1e87882e3/module_er[2]/module_e1_4[2],uuid:add976e2-2e2a-4f4a-90c6-bff1e87882e3/module_er[2]/module_e1_4
1,1,Tilapia,1,2020,0,1,,1,1,,6,7,3,,0,,2/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,1,1,,,,0,,5,1,800,12/1/2023,5,,uuid:80142555-0baa-4615-a82b-7c9a5fd3aab3/module_er[1],uuid:80142555-0baa-4615-a82b-7c9a5fd3aab3/module_er[1]/module_e1_4[1],uuid:80142555-0baa-4615-a82b-7c9a5fd3aab3/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2020,0,1,,1,1,,6,7,3,,0,,2/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,1,,,3,,,0,4,,600,11/1/2023,5,,uuid:80142555-0baa-4615-a82b-7c9a5fd3aab3/module_er[1],uuid:80142555-0baa-4615-a82b-7c9a5fd3aab3/module_er[1]/module_e1_4[2],uuid:80142555-0baa-4615-a82b-7c9a5fd3aab3/module_er[1]/module_e1_4
1,1,Tilapia,1,2020,0,1,,1,1,,2,6,3,,0,,3/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,2,1,,,,0,,5,1,650,12/1/2023,5,,uuid:d9493f9b-401d-46f6-a059-7c0abf1051e0/module_er[1],uuid:d9493f9b-401d-46f6-a059-7c0abf1051e0/module_er[1]/module_e1_4[1],uuid:d9493f9b-401d-46f6-a059-7c0abf1051e0/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2020,0,1,,1,1,,2,6,3,,0,,2/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,1,,,3,,,0,6,,750,12/1/2023,5,,uuid:d9493f9b-401d-46f6-a059-7c0abf1051e0/module_er[1],uuid:d9493f9b-401d-46f6-a059-7c0abf1051e0/module_er[1]/module_e1_4[2],uuid:d9493f9b-401d-46f6-a059-7c0abf1051e0/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:16b0ee07-c2b0-480c-a434-3f34197d7ea9/module_er[1],uuid:16b0ee07-c2b0-480c-a434-3f34197d7ea9/module_er[1]/module_e1_4[1],uuid:16b0ee07-c2b0-480c-a434-3f34197d7ea9/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2020,0,1,,1,2,,9,5,1,,0,,2/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,2,,,1,,,0,5,,5000,1/1/2023,5,,uuid:16b0ee07-c2b0-480c-a434-3f34197d7ea9/module_er[1],uuid:16b0ee07-c2b0-480c-a434-3f34197d7ea9/module_er[1]/module_e1_4[2],uuid:16b0ee07-c2b0-480c-a434-3f34197d7ea9/module_er[1]/module_e1_4
1,1,Tilapia,1,2023,0,1,,1,1,,165,3,3,,0,,6/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,1,-96,Nam jane na,,,0,,1,-97,2500,12/1/2024,1,,uuid:1bf1d497-c942-4eee-bbd2-e576714565fa/module_er[1],uuid:1bf1d497-c942-4eee-bbd2-e576714565fa/module_er[1]/module_e1_4[1],uuid:1bf1d497-c942-4eee-bbd2-e576714565fa/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2000,0,1,,1,1,,165,3,3,,0,,6/1/2023,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,13,,,-96,Nam jane na,,0,80,,15000,12/1/2024,1,,uuid:1bf1d497-c942-4eee-bbd2-e576714565fa/module_er[1],uuid:1bf1d497-c942-4eee-bbd2-e576714565fa/module_er[1]/module_e1_4[2],uuid:1bf1d497-c942-4eee-bbd2-e576714565fa/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:a3555b8a-09be-47e6-b1d1-3d46dc6c99fa/module_er[1],uuid:a3555b8a-09be-47e6-b1d1-3d46dc6c99fa/module_er[1]/module_e1_4[1],uuid:a3555b8a-09be-47e6-b1d1-3d46dc6c99fa/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:a3555b8a-09be-47e6-b1d1-3d46dc6c99fa/module_er[1],uuid:a3555b8a-09be-47e6-b1d1-3d46dc6c99fa/module_er[1]/module_e1_4[2],uuid:a3555b8a-09be-47e6-b1d1-3d46dc6c99fa/module_er[1]/module_e1_4
1,1,Tilapia,1,2019,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:0dc51120-aaa3-4179-8641-2172f5899b23/module_er[1],uuid:0dc51120-aaa3-4179-8641-2172f5899b23/module_er[1]/module_e1_4[1],uuid:0dc51120-aaa3-4179-8641-2172f5899b23/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:0dc51120-aaa3-4179-8641-2172f5899b23/module_er[1],uuid:0dc51120-aaa3-4179-8641-2172f5899b23/module_er[1]/module_e1_4[2],uuid:0dc51120-aaa3-4179-8641-2172f5899b23/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:ecdf59a8-376c-4c91-b0e0-20896a873797/module_er[1],uuid:ecdf59a8-376c-4c91-b0e0-20896a873797/module_er[1]/module_e1_4[1],uuid:ecdf59a8-376c-4c91-b0e0-20896a873797/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:ecdf59a8-376c-4c91-b0e0-20896a873797/module_er[1],uuid:ecdf59a8-376c-4c91-b0e0-20896a873797/module_er[1]/module_e1_4[2],uuid:ecdf59a8-376c-4c91-b0e0-20896a873797/module_er[1]/module_e1_4
1,1,Tilapia,1,2020,0,1,,1,1,,9,6,1,,0,,1/1/2020,8,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,,4,-96,Hibrit,,,0,,2,-97,500,1/1/2025,5,,uuid:50750cf4-8fa2-4671-bf17-a435d0119246/module_er[1],uuid:50750cf4-8fa2-4671-bf17-a435d0119246/module_er[1]/module_e1_4[1],uuid:50750cf4-8fa2-4671-bf17-a435d0119246/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:50750cf4-8fa2-4671-bf17-a435d0119246/module_er[1],uuid:50750cf4-8fa2-4671-bf17-a435d0119246/module_er[1]/module_e1_4[2],uuid:50750cf4-8fa2-4671-bf17-a435d0119246/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:7fda5d65-b6cd-465f-9192-bfdf8013c2b8/module_er[1],uuid:7fda5d65-b6cd-465f-9192-bfdf8013c2b8/module_er[1]/module_e1_4[1],uuid:7fda5d65-b6cd-465f-9192-bfdf8013c2b8/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:7fda5d65-b6cd-465f-9192-bfdf8013c2b8/module_er[1],uuid:7fda5d65-b6cd-465f-9192-bfdf8013c2b8/module_er[1]/module_e1_4[2],uuid:7fda5d65-b6cd-465f-9192-bfdf8013c2b8/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:80570228-7374-4da4-a8df-002a930e25e0/module_er[1],uuid:80570228-7374-4da4-a8df-002a930e25e0/module_er[1]/module_e1_4[1],uuid:80570228-7374-4da4-a8df-002a930e25e0/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:80570228-7374-4da4-a8df-002a930e25e0/module_er[1],uuid:80570228-7374-4da4-a8df-002a930e25e0/module_er[1]/module_e1_4[2],uuid:80570228-7374-4da4-a8df-002a930e25e0/module_er[1]/module_e1_4
1,1,Tilapia,1,2018,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:4f907ba1-fc56-447e-8e1f-d20e8a5a9ad6/module_er[1],uuid:4f907ba1-fc56-447e-8e1f-d20e8a5a9ad6/module_er[1]/module_e1_4[1],uuid:4f907ba1-fc56-447e-8e1f-d20e8a5a9ad6/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:4f907ba1-fc56-447e-8e1f-d20e8a5a9ad6/module_er[1],uuid:4f907ba1-fc56-447e-8e1f-d20e8a5a9ad6/module_er[1]/module_e1_4[2],uuid:4f907ba1-fc56-447e-8e1f-d20e8a5a9ad6/module_er[1]/module_e1_4
1,1,Tilapia,1,2023,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:429455f2-303e-4b5e-8483-bca6b03b470c/module_er[1],uuid:429455f2-303e-4b5e-8483-bca6b03b470c/module_er[1]/module_e1_4[1],uuid:429455f2-303e-4b5e-8483-bca6b03b470c/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2023,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:429455f2-303e-4b5e-8483-bca6b03b470c/module_er[1],uuid:429455f2-303e-4b5e-8483-bca6b03b470c/module_er[1]/module_e1_4[2],uuid:429455f2-303e-4b5e-8483-bca6b03b470c/module_er[1]/module_e1_4
1,1,Tilapia,1,2020,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:04bef3b7-006d-44e4-8532-661e947076b3/module_er[1],uuid:04bef3b7-006d-44e4-8532-661e947076b3/module_er[1]/module_e1_4[1],uuid:04bef3b7-006d-44e4-8532-661e947076b3/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2020,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:04bef3b7-006d-44e4-8532-661e947076b3/module_er[1],uuid:04bef3b7-006d-44e4-8532-661e947076b3/module_er[1]/module_e1_4[2],uuid:04bef3b7-006d-44e4-8532-661e947076b3/module_er[1]/module_e1_4
1,1,Tilapia,1,2003,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:fd34b7f2-84f9-4607-9602-22c4820b41fc/module_er[1],uuid:fd34b7f2-84f9-4607-9602-22c4820b41fc/module_er[1]/module_e1_4[1],uuid:fd34b7f2-84f9-4607-9602-22c4820b41fc/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2003,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:fd34b7f2-84f9-4607-9602-22c4820b41fc/module_er[1],uuid:fd34b7f2-84f9-4607-9602-22c4820b41fc/module_er[1]/module_e1_4[2],uuid:fd34b7f2-84f9-4607-9602-22c4820b41fc/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:05713ab7-edf1-4aee-9620-efb6243c0c90/module_er[1],uuid:05713ab7-edf1-4aee-9620-efb6243c0c90/module_er[1]/module_e1_4[1],uuid:05713ab7-edf1-4aee-9620-efb6243c0c90/module_er[1]/module_e1_4
2,2,Rohu (Rui),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:05713ab7-edf1-4aee-9620-efb6243c0c90/module_er[1],uuid:05713ab7-edf1-4aee-9620-efb6243c0c90/module_er[1]/module_e1_4[2],uuid:05713ab7-edf1-4aee-9620-efb6243c0c90/module_er[1]/module_e1_4
1,1,Tilapia,1,2016,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:1fa363a2-8ac0-4dee-b96a-223b044dec2c/module_er[1],uuid:1fa363a2-8ac0-4dee-b96a-223b044dec2c/module_er[1]/module_e1_4[1],uuid:1fa363a2-8ac0-4dee-b96a-223b044dec2c/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2016,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:1fa363a2-8ac0-4dee-b96a-223b044dec2c/module_er[1],uuid:1fa363a2-8ac0-4dee-b96a-223b044dec2c/module_er[1]/module_e1_4[2],uuid:1fa363a2-8ac0-4dee-b96a-223b044dec2c/module_er[1]/module_e1_4
1,1,Tilapia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uuid:04dc8765-b27c-4ddf-8603-a5fb4e999377/module_er[1],uuid:04dc8765-b27c-4ddf-8603-a5fb4e999377/module_er[1]/module_e1_4[1],uuid:04dc8765-b27c-4ddf-8603-a5fb4e999377/module_er[1]/module_e1_4
2,2,Rohu (Rui),1,2014,0,1,,1,1,,8,8,1,,0,,5/1/2023,8,0,0,0,0,0,0,0,1,0,0,,1,0,,,0,,8,,,-96,Janina,,0,1,,450,10/1/2023,5,,uuid:04dc8765-b27c-4ddf-8603-a5fb4e999377/module_er[1],uuid:04dc8765-b27c-4ddf-8603-a5fb4e999377/module_er[1]/module_e1_4[2],uuid:04dc8765-b27c-4ddf-8603-a5fb4e999377/module_er[1]/module_e1_4
1,1,Tilapia,1,2022,0,1,,1,1,,5,2,1,,0,,6/1/2023,3,0,0,1,0,0,0,0,0,0,0,,,,,,,,,-96,Monosix,,,0,,5,-97,500,9/1/2023,5,,uuid:72975329-344e-4215-8b46-5b59b64236c1/module_er[1],uuid:72975329-344e-4215-8b46-5b59b64236c1/module_er[1]/module_e1_4[1],uuid:72975329-344e-4215-8b46-5b59b64236c1/module_er[1]/module_e1_4
