d1index,d1cgiartech_id,d1cgiartech_name,d1cgiartech_know,d1cgiartech_usage,d1cgiartech_owner,d1cgiartech_past,d1cgiartech_startyear,d1cgiartech_stopyear,d1tech_stopreason,d1tech_stopreason_1,d1tech_stopreason_2,d1tech_stopreason_3,d1tech_stopreason_4,d1tech_stopreason_5,d1tech_stopreason_6,d1tech_stopreason_7,d1tech_stopreason_8,d1tech_stopreason_9,d1tech_stopreason_10,d1cgiartech_introyear,PARENT_KEY,KEY,SET-OF-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7,uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7/module_d-module_d1[2],uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2023,,,,,,,,,,,,,2015,uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7,uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7/module_d-module_d1[3],uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7,uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7/module_d-module_d1[4],uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7/module_d-module_d1
5,5,Combine Harvester/Thresher,1,0,,0,,,,,,,,,,,,,,-97,uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7,uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7/module_d-module_d1[5],uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7,uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7/module_d-module_d1[6],uuid:89752787-f1b6-4ac3-a1c9-b31615e89bd7/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e,uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e/module_d-module_d1[1],uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e,uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e/module_d-module_d1[2],uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2001,,,,,,,,,,,,,1980,uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e,uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e/module_d-module_d1[3],uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e,uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e/module_d-module_d1[4],uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e/module_d-module_d1
5,5,Combine Harvester/Thresher,1,0,,0,,,,,,,,,,,,,,-97,uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e,uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e/module_d-module_d1[5],uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e,uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e/module_d-module_d1[6],uuid:23d2abc7-0b34-496d-ae1e-827bbcccbb2e/module_d-module_d1
1,1,Axial Flow Pump,1,0,,1,2002,2015,8,0,0,0,0,0,0,0,1,0,0,2002,uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a,uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a/module_d-module_d1[1],uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a,uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a/module_d-module_d1[2],uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2002,,,,,,,,,,,,,1995,uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a,uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a/module_d-module_d1[3],uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,1,1,0,0,2015,,,,,,,,,,,,,2014,uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a,uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a/module_d-module_d1[4],uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a/module_d-module_d1
5,5,Combine Harvester/Thresher,1,0,,0,,,,,,,,,,,,,,2015,uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a,uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a/module_d-module_d1[5],uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a,uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a/module_d-module_d1[6],uuid:f8a7c819-0c29-44d9-966f-a334ffb9ae7a/module_d-module_d1
1,1,Axial Flow Pump,1,1,0,1,2010,,,,,,,,,,,,,2000,uuid:ca13cfed-f052-432e-bd46-5edc27f48980,uuid:ca13cfed-f052-432e-bd46-5edc27f48980/module_d-module_d1[1],uuid:ca13cfed-f052-432e-bd46-5edc27f48980/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:ca13cfed-f052-432e-bd46-5edc27f48980,uuid:ca13cfed-f052-432e-bd46-5edc27f48980/module_d-module_d1[2],uuid:ca13cfed-f052-432e-bd46-5edc27f48980/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,0,,0,,,,,,,,,,,,,,-97,uuid:ca13cfed-f052-432e-bd46-5edc27f48980,uuid:ca13cfed-f052-432e-bd46-5edc27f48980/module_d-module_d1[3],uuid:ca13cfed-f052-432e-bd46-5edc27f48980/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,1,1,0,1,2007,,,,,,,,,,,,,1998,uuid:ca13cfed-f052-432e-bd46-5edc27f48980,uuid:ca13cfed-f052-432e-bd46-5edc27f48980/module_d-module_d1[4],uuid:ca13cfed-f052-432e-bd46-5edc27f48980/module_d-module_d1
5,5,Combine Harvester/Thresher,1,1,0,1,2009,,,,,,,,,,,,,2005,uuid:ca13cfed-f052-432e-bd46-5edc27f48980,uuid:ca13cfed-f052-432e-bd46-5edc27f48980/module_d-module_d1[5],uuid:ca13cfed-f052-432e-bd46-5edc27f48980/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:ca13cfed-f052-432e-bd46-5edc27f48980,uuid:ca13cfed-f052-432e-bd46-5edc27f48980/module_d-module_d1[6],uuid:ca13cfed-f052-432e-bd46-5edc27f48980/module_d-module_d1
1,1,Axial Flow Pump,1,0,,1,2010,2015,5,0,0,0,0,1,0,0,0,0,0,2002,uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d,uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d/module_d-module_d1[1],uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d,uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d/module_d-module_d1[2],uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2002,,,,,,,,,,,,,1995,uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d,uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d/module_d-module_d1[3],uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,1,1,0,0,2015,,,,,,,,,,,,,2014,uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d,uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d/module_d-module_d1[4],uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d/module_d-module_d1
5,5,Combine Harvester/Thresher,1,0,,0,,,,,,,,,,,,,,2015,uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d,uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d/module_d-module_d1[5],uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d,uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d/module_d-module_d1[6],uuid:e9c01ef9-26b5-43c5-bf0f-e8fed78b9e3d/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34,uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34/module_d-module_d1[1],uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34,uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34/module_d-module_d1[2],uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2001,,,,,,,,,,,,,-97,uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34,uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34/module_d-module_d1[3],uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34,uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34/module_d-module_d1[4],uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34/module_d-module_d1
5,5,Combine Harvester/Thresher,1,0,,0,,,,,,,,,,,,,,-97,uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34,uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34/module_d-module_d1[5],uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34,uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34/module_d-module_d1[6],uuid:2ccaf5ea-f49f-41f4-bca2-b79e20ce7b34/module_d-module_d1
1,1,Axial Flow Pump,1,1,0,1,2017,,,,,,,,,,,,,2007,uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f,uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f/module_d-module_d1[1],uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f,uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f/module_d-module_d1[2],uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2017,,,,,,,,,,,,,2009,uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f,uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f/module_d-module_d1[3],uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f,uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f/module_d-module_d1[4],uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f/module_d-module_d1
5,5,Combine Harvester/Thresher,0,,,,,,,,,,,,,,,,,,uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f,uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f/module_d-module_d1[5],uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f,uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f/module_d-module_d1[6],uuid:e558c504-552b-4940-8aab-e9f8b74a4d8f/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:05dcc902-16a5-489a-83c7-26e8865e5a87,uuid:05dcc902-16a5-489a-83c7-26e8865e5a87/module_d-module_d1[1],uuid:05dcc902-16a5-489a-83c7-26e8865e5a87/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:05dcc902-16a5-489a-83c7-26e8865e5a87,uuid:05dcc902-16a5-489a-83c7-26e8865e5a87/module_d-module_d1[2],uuid:05dcc902-16a5-489a-83c7-26e8865e5a87/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2017,,,,,,,,,,,,,-97,uuid:05dcc902-16a5-489a-83c7-26e8865e5a87,uuid:05dcc902-16a5-489a-83c7-26e8865e5a87/module_d-module_d1[3],uuid:05dcc902-16a5-489a-83c7-26e8865e5a87/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:05dcc902-16a5-489a-83c7-26e8865e5a87,uuid:05dcc902-16a5-489a-83c7-26e8865e5a87/module_d-module_d1[4],uuid:05dcc902-16a5-489a-83c7-26e8865e5a87/module_d-module_d1
5,5,Combine Harvester/Thresher,0,,,,,,,,,,,,,,,,,,uuid:05dcc902-16a5-489a-83c7-26e8865e5a87,uuid:05dcc902-16a5-489a-83c7-26e8865e5a87/module_d-module_d1[5],uuid:05dcc902-16a5-489a-83c7-26e8865e5a87/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:05dcc902-16a5-489a-83c7-26e8865e5a87,uuid:05dcc902-16a5-489a-83c7-26e8865e5a87/module_d-module_d1[6],uuid:05dcc902-16a5-489a-83c7-26e8865e5a87/module_d-module_d1
1,1,Axial Flow Pump,1,0,,0,,,,,,,,,,,,,,-97,uuid:ae231380-c826-415e-b495-44606e70a1b4,uuid:ae231380-c826-415e-b495-44606e70a1b4/module_d-module_d1[1],uuid:ae231380-c826-415e-b495-44606e70a1b4/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:ae231380-c826-415e-b495-44606e70a1b4,uuid:ae231380-c826-415e-b495-44606e70a1b4/module_d-module_d1[2],uuid:ae231380-c826-415e-b495-44606e70a1b4/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2005,,,,,,,,,,,,,2000,uuid:ae231380-c826-415e-b495-44606e70a1b4,uuid:ae231380-c826-415e-b495-44606e70a1b4/module_d-module_d1[3],uuid:ae231380-c826-415e-b495-44606e70a1b4/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,1,1,0,1,2017,,,,,,,,,,,,,2016,uuid:ae231380-c826-415e-b495-44606e70a1b4,uuid:ae231380-c826-415e-b495-44606e70a1b4/module_d-module_d1[4],uuid:ae231380-c826-415e-b495-44606e70a1b4/module_d-module_d1
5,5,Combine Harvester/Thresher,1,1,0,1,2018,,,,,,,,,,,,,2015,uuid:ae231380-c826-415e-b495-44606e70a1b4,uuid:ae231380-c826-415e-b495-44606e70a1b4/module_d-module_d1[5],uuid:ae231380-c826-415e-b495-44606e70a1b4/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:ae231380-c826-415e-b495-44606e70a1b4,uuid:ae231380-c826-415e-b495-44606e70a1b4/module_d-module_d1[6],uuid:ae231380-c826-415e-b495-44606e70a1b4/module_d-module_d1
1,1,Axial Flow Pump,1,0,,0,,,,,,,,,,,,,,-97,uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2,uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2/module_d-module_d1[1],uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2,uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2/module_d-module_d1[2],uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,0,,1,2008,2020,5,0,0,0,0,1,0,0,0,0,0,2008,uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2,uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2/module_d-module_d1[3],uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,1,1,0,1,2018,,,,,,,,,,,,,2017,uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2,uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2/module_d-module_d1[4],uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2/module_d-module_d1
5,5,Combine Harvester/Thresher,1,1,0,1,2017,,,,,,,,,,,,,2015,uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2,uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2/module_d-module_d1[5],uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2,uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2/module_d-module_d1[6],uuid:a6cb96ad-3f44-4457-82e0-ea124aaadca2/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404,uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404/module_d-module_d1[1],uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404,uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404/module_d-module_d1[2],uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2012,,,,,,,,,,,,,-97,uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404,uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404/module_d-module_d1[3],uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,1,1,0,1,2011,,,,,,,,,,,,,-97,uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404,uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404/module_d-module_d1[4],uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404/module_d-module_d1
5,5,Combine Harvester/Thresher,0,,,,,,,,,,,,,,,,,,uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404,uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404/module_d-module_d1[5],uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404,uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404/module_d-module_d1[6],uuid:b1ed5c20-8519-4f74-ba43-d89f379bf404/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:70ed66fd-750d-4b2b-9646-f842d52e875b,uuid:70ed66fd-750d-4b2b-9646-f842d52e875b/module_d-module_d1[1],uuid:70ed66fd-750d-4b2b-9646-f842d52e875b/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),1,1,0,1,1975,,,,,,,,,,,,,-97,uuid:70ed66fd-750d-4b2b-9646-f842d52e875b,uuid:70ed66fd-750d-4b2b-9646-f842d52e875b/module_d-module_d1[2],uuid:70ed66fd-750d-4b2b-9646-f842d52e875b/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,1,0,1,2015,,,,,,,,,,,,,-97,uuid:70ed66fd-750d-4b2b-9646-f842d52e875b,uuid:70ed66fd-750d-4b2b-9646-f842d52e875b/module_d-module_d1[3],uuid:70ed66fd-750d-4b2b-9646-f842d52e875b/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,1,1,0,1,2011,,,,,,,,,,,,,-97,uuid:70ed66fd-750d-4b2b-9646-f842d52e875b,uuid:70ed66fd-750d-4b2b-9646-f842d52e875b/module_d-module_d1[4],uuid:70ed66fd-750d-4b2b-9646-f842d52e875b/module_d-module_d1
5,5,Combine Harvester/Thresher,0,,,,,,,,,,,,,,,,,,uuid:70ed66fd-750d-4b2b-9646-f842d52e875b,uuid:70ed66fd-750d-4b2b-9646-f842d52e875b/module_d-module_d1[5],uuid:70ed66fd-750d-4b2b-9646-f842d52e875b/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:70ed66fd-750d-4b2b-9646-f842d52e875b,uuid:70ed66fd-750d-4b2b-9646-f842d52e875b/module_d-module_d1[6],uuid:70ed66fd-750d-4b2b-9646-f842d52e875b/module_d-module_d1
1,1,Axial Flow Pump,1,1,0,0,2021,,,,,,,,,,,,,2021,uuid:b7e8df13-d085-49c4-b3da-bdf32812954a,uuid:b7e8df13-d085-49c4-b3da-bdf32812954a/module_d-module_d1[1],uuid:b7e8df13-d085-49c4-b3da-bdf32812954a/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:b7e8df13-d085-49c4-b3da-bdf32812954a,uuid:b7e8df13-d085-49c4-b3da-bdf32812954a/module_d-module_d1[2],uuid:b7e8df13-d085-49c4-b3da-bdf32812954a/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,0,,0,,,,,,,,,,,,,,1989,uuid:b7e8df13-d085-49c4-b3da-bdf32812954a,uuid:b7e8df13-d085-49c4-b3da-bdf32812954a/module_d-module_d1[3],uuid:b7e8df13-d085-49c4-b3da-bdf32812954a/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,1,0,,0,,,,,,,,,,,,,,-97,uuid:b7e8df13-d085-49c4-b3da-bdf32812954a,uuid:b7e8df13-d085-49c4-b3da-bdf32812954a/module_d-module_d1[4],uuid:b7e8df13-d085-49c4-b3da-bdf32812954a/module_d-module_d1
5,5,Combine Harvester/Thresher,1,1,0,1,2021,,,,,,,,,,,,,2021,uuid:b7e8df13-d085-49c4-b3da-bdf32812954a,uuid:b7e8df13-d085-49c4-b3da-bdf32812954a/module_d-module_d1[5],uuid:b7e8df13-d085-49c4-b3da-bdf32812954a/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:b7e8df13-d085-49c4-b3da-bdf32812954a,uuid:b7e8df13-d085-49c4-b3da-bdf32812954a/module_d-module_d1[6],uuid:b7e8df13-d085-49c4-b3da-bdf32812954a/module_d-module_d1
1,1,Axial Flow Pump,0,,,,,,,,,,,,,,,,,,uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9,uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9/module_d-module_d1[1],uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9/module_d-module_d1
2,2,Alternate Wetting and Drying (ম্যাজিক পাইপ),0,,,,,,,,,,,,,,,,,,uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9,uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9/module_d-module_d1[2],uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9/module_d-module_d1
3,3,Power Tiller Operated Seeder - 2 wheeler,1,0,,0,,,,,,,,,,,,,,1990,uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9,uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9/module_d-module_d1[3],uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9/module_d-module_d1
4,4,Power Tiller Operated Seeder - 4 wheeler,0,,,,,,,,,,,,,,,,,,uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9,uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9/module_d-module_d1[4],uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9/module_d-module_d1
5,5,Combine Harvester/Thresher,1,1,0,0,2021,,,,,,,,,,,,,2020,uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9,uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9/module_d-module_d1[5],uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9/module_d-module_d1
6,6,Two wheeled mechanical Reaper for Rice/Wheat/Jute,0,,,,,,,,,,,,,,,,,,uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9,uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9/module_d-module_d1[6],uuid:5cd077cd-2969-4aea-b0bf-7e2aefef9fe9/module_d-module_d1
1,1,Axial Flow Pump,1,0,,1,2021,2022,5 10,0,0,0,0,1,0,0,0,0,1,-97,uuid:da0c2e4b-f63b-46a2-9a0f-a836cca294e7,uuid:da0c2e4b-f63b-46a2-9a0f-a836cca294e7/module_d-module_d1[1],uuid:da0c2e4b-f63b-46a2-9a0f-a836cca294e7/module_d-module_d1
